title,model_family,generation_number,is_pro,storage_gb_numeric,condition,price,wasPrice,price_discount_pct,available,sold,was_lot
Factory New Sealed Apple iPhone 14/iPhone 14 Pro Max 128G 256 512GB Unlocked LOT,iPhone 14 Pro Max,14.0,True,512.0,New,314.11,,,0.0,44.0,False
NEW SEALED APPLE IPHONE 14 5G 128GB~512GB FACTORY UNLOCKED ALL CARRIERS & COLORS,iPhone 14,14.0,False,128.0,New,389.01,,,2.0,1.0,False
Apple iPhone 15 128GB Factory Unlocked CDMA + GSM - EXCELLENT,iPhone 15,15.0,False,128.0,Excellent - Refurbished,369.48,,,0.0,417.0,False
"Apple iPhone 13 Mini - Fully Unlocked - 128GB - 5.4"" - Good",iPhone 13 Mini,13.0,False,128.0,Good - Refurbished,249.0,647.99,61.57,2.0,4.0,False
"Apple iPhone 14, Unlocked Smartphone, 128GB, 256GB, 512GB - SYDNEY STOCK",iPhone 14,14.0,False,128.0,New,801.9,,,5.0,1.0,False
New Apple iPhone 14 Pro Max 5G 128GB/256GB/512GB Factory Unlocked 2 YRS WARRANTY,iPhone 14 Pro Max,14.0,True,128.0,New,675.95,,,2.0,2.0,False
Apple iPhone 17 (6.3-in) Smartphone (A3258) Unlocked - 256GB / Mist Blue,iPhone 17,17.0,False,256.0,Very Good - Refurbished,849.95,,,0.0,2.0,False
"Apple iPhone 14 Pro Max, Unlocked Smartphone, 128GB, 256GB - SYDNEY STOCK",iPhone 14 Pro Max,14.0,True,128.0,New,1091.9,,,5.0,7.0,False
NEW SEALED BOX APPLE IPHONE 14 PRO MAX 128G/256G/512GB FACTORY UNLOCKED GSM+CDMA,iPhone 14 Pro Max,14.0,True,512.0,New,675.95,,,2.0,1.0,False
New in Sealed Box Apple iPhone 13 MINI 5G A2481 128GB 256GB Unlocked Smartphone,iPhone 13 Mini,13.0,False,128.0,New,321.88,,,2.0,2.0,False
Apple iPhone 13 128GB Unlocked FACTORY UNLOCKED - OPEN BOX,iPhone 13,13.0,False,128.0,Open Box,249.48,,,5.0,93.0,False
Apple iPhone 14 Plus A2632 (Unlocked) - 128GB All Colors - OPEN BOX,iPhone 14 Plus,14.0,False,128.0,Open Box,363.99,,,3.0,14.0,False
"Apple iPhone 17 Pro Max 6.9"" 256GB 512GB 1TB 2TB Unlocked - Brand New (Sealed)",iPhone 17 Pro Max,17.0,True,256.0,New,1440.0,,,0.0,45.0,False
iPhone 14 Pro Max - 128 GB Unlocked Good Condition - Aftermarket Screen Message,iPhone 14 Pro Max,14.0,True,128.0,Used,370.0,,,8.0,5.0,False
Apple iPhone 14 Plus A2632 - Factory Unlocked - 128GB - Yellow - OPEN BOX,iPhone 14 Plus,14.0,False,128.0,Open Box,389.99,,,3.0,1.0,False
New in box Apple iPhone 13 Mini/12 Mini/12 Pro 5G Factory Unlocked All Carriers,iPhone 13 Mini,13.0,False,128.0,New,327.55,,,3.0,32.0,False
NEW IN BOX Apple Iphone 13 Mini A2481 128GB 256GB Unlocked GSM CDMA All Carrier,iPhone 13 Mini,13.0,False,128.0,New,323.99,,,2.0,1.0,False
NEW Apple Iphone 13 Mini A2481 128GB 256GB Unlocked AT&T T-MOBILE VERIZON,iPhone 13 Mini,13.0,False,128.0,New,323.99,,,2.0,1.0,False
New Sealed Apple iPhone 13 MINI A2481 128GB/256GB US Factory Unlocked GSM CDMA,iPhone 13 Mini,13.0,False,128.0,New,323.99,,,2.0,1.0,False
Apple iPhone 12 Pro Max 128GB 256GB 512GB Unlocked Smartphone - All Colors,iPhone 12 Pro Max,12.0,True,128.0,Good - Refurbished,309.99,,,0.0,204.0,False
Apple iPhone 14 128GB 256GB 512GB Unlocked Smartphone - Very Good,iPhone 14,14.0,False,128.0,Very Good - Refurbished,334.99,,,0.0,189.0,False
New Apple iPhone 13 MINI A2481 128GB/256GB/512GB Fully Unlocked US Version,iPhone 13 Mini,13.0,False,128.0,New,323.99,,,2.0,1.0,False
Apple iPhone 14 128GB 256GB 512GB Unlocked Smartphone - Heavy Scratch,iPhone 14,14.0,False,128.0,Used,239.99,,,10.0,118.0,False
Apple iPhone 14 Plus A2632 128GB 256GB 512GB Unlocked Smartphone - Heavy Scratch,iPhone 14 Plus,14.0,False,128.0,Used,319.99,,,0.0,22.0,False
FACTORY NEW SEALED APPLE IPHONE 14 128GB 256G/512 FULLY UNLOCKED ALL GSM CDMA,iPhone 14,14.0,False,128.0,New,389.99,,,5.0,1.0,False
NEW SEALED APPLE IPHONE 14 PRO MAX 128GB 256G 512G FACTORY UNLOCKED 2 YEAR WARR,iPhone 14 Pro Max,14.0,True,128.0,New,745.12,,,2.0,10.0,False
NEW APPLE IPHONE 14 PRO MAX 128GB-512G AT&T T-Mobile Verizon Factory Unlocked,iPhone 14 Pro Max,14.0,True,128.0,New,745.12,,,2.0,3.0,False
New Apple iPhone 13 Mini 128GB/256/512B A2626 Factory Unlocked for All Carriers,iPhone 13 Mini,13.0,False,128.0,New,322.01,,,2.0,58.0,False
New Apple iPhone 14/14 Pro Max /13/13 MINI/12 MINI 5G Factory Unlocked GSM CDMA,iPhone 14,14.0,False,128.0,New,335.99,,,3.0,2.0,False
Apple iPhone 17 - 256gb - Unlocked - New/Sealed - Factory Warranty - All Colors,iPhone 17,17.0,False,256.0,New,879.0,,,9.0,39.0,False
Apple iPhone 16 128GB 256GB Unlocked Smartphone - All Colors - Good,iPhone 16,16.0,False,128.0,Good - Refurbished,549.99,,,10.0,23.0,False
Apple iPhone 14 Pro Max 128GB 256GB 512GB Unlocked Smartphone - Heavy Scratch,iPhone 14 Pro Max,14.0,True,128.0,Used,399.99,,,0.0,29.0,False
Apple iPhone 14 128GB Black Unlocked Smartphone - Heavy Scratch,iPhone 14,14.0,False,128.0,Used,229.99,,,10.0,8.0,False
Apple iPhone 17 US Version 256GB Black - Unlocked - Excellent,iPhone 17,17.0,False,256.0,Excellent - Refurbished,799.99,,,10.0,2.0,False
Apple iPhone 17 256GB E -SIM US Version - Unlocked - Very Good,iPhone 17,17.0,False,256.0,Very Good - Refurbished,764.99,,,4.0,2.0,False
New Apple Iphone 13 Mini 5G Midnight 512GB/4GB Single Sim Unlocked Sim Free IOS,iPhone 13 Mini,13.0,False,512.0,New,430.67,,,0.0,4.0,False
Apple iPhone 12 Smartphone Verizon AT&T T-Mobile GSM Factory Unlocked Phone,iPhone 12,12.0,False,128.0,Used,179.95,,,21.0,357.0,False
Apple iPhone 13 Verizon AT&T T-Mobile GSM Factory Fully Unlocked Phone 5G Good,iPhone 13,13.0,False,128.0,Used,279.95,,,12.0,65.0,False
apple iPhone 13 Mini - Verizon AT&T T-Mobile GSM Factory Unlocked Phone - parts,iPhone 13 Mini,13.0,False,128.0,For Parts Or Not Working,169.99,,,0.0,24.0,False
